word,syllable break,phoneme,syllabilized phonemes
comfortable,com.fort.a.ble,k ˈʌ m f ɚ t ə b ə l,k ˈʌ m f . f ɚ . t ə . b ə l
pit,pit,p ˈɪ t,p ˈɪ t
bull,bull,b ˈʊ l,b ˈʊ l
owner,own.er,ˈoʊ n ɚ,ˈoʊ . n ɚ
pugs,pugs,p ˈʌ ɡ z,p ˈʌ ɡ z
squished,squished,s k w ˈɪ ʃ t,s k w ˈɪ ʃ t
noses,noses,n ˈoʊ z ɪ z,n ˈoʊ z ɪ z
snort,snort,s n ˈɔ ɹ t,s n ˈɔ ɹ t
bring,bring,b ɹ ˈɪ ŋ,b ɹ ˈɪ ŋ
comment,com.ment,k ˈɑ m ɛ n t,k ˈɑ m . m ɛ n t
clients,cli.ents,k l ˈaɪ ə n t s,k l ˈaɪ . ə n t s
schools,schools,s k ˈu l z,s k ˈu l z
relieve,re.lieve,ɹ ɪ l ˈi v,ɹ ɪ . l ˈi v
stress,stress,s t ɹ ˈɛ s,s t ɹ ˈɛ s
students,stu.dents,s t ˈu d ə n t s,s t ˈu . d ə n t s
during,dur.ing,d ˈʊ ɹ ɪ ŋ,d ˈʊ ɹ . ɪ ŋ
exam,ex.am,ɪ ɡ z ˈæ m,ɪ ɡ . z ˈæ m
border,bor.der,b ˈɔ ɹ d ɚ,b ˈɔ ɹ . d ɚ
collie,col.lie,k ˈɑ l i,k ˈɑ . l i
smart,smart,s m ˈɑ ɹ t,s m ˈɑ ɹ t
splashing,splash.ing,s p l ˈæ ʃ ɪ ŋ,s p l ˈæ ʃ . ɪ ŋ
collies,col.lies,k ˈɑ l i z,k ˈɑ . l i z
farms,farms,f ˈɑ ɹ m z,f ˈɑ ɹ m z
golden,gold.en,ɡ ˈoʊ l d ə n,ɡ ˈoʊ l . d ə n
comments,com.ments,k ˈɑ m ɛ n t s,k ˈɑ m . m ɛ n t s
gentle,gen.tle,d͡ʒ ˈɛ n t ə l,d͡ʒ ˈɛ n . t ə l
giants,gi.ants,d͡ʒ ˈaɪ ə n t s,d͡ʒ ˈaɪ . ə n t s
russell,rus.sell,ɹ ˈʌ s ə l,ɹ ˈʌ s . ə l
leash,leash,l ˈi ʃ,l ˈi ʃ
commons,com.mons,k ˈɑ m ə n z,k ˈɑ m . m ə n z
quiet,qui.et,k w ˈaɪ ə t,k w ˈaɪ . ə t
digging,dig.ging,d ˈɪ ɡ ɪ ŋ,d ˈɪ ɡ . ɪ ŋ
garden,gar.den,ɡ ˈɑ ɹ d ə n,ɡ ˈɑ ɹ . d ə n
dirt,dirt,d ˈɚ t,d ˈɚ t
nose,nose,n ˈoʊ z,n ˈoʊ z
groodle,grood.le,ɡ ɹ ˈu d ə l,ɡ ɹ ˈu d . ə l
mix,mix,m ˈɪ k s,m ˈɪ k s
concern,con.cern,k ə n s ˈɚ n,k ə n . s ˈɚ n
bred,bred,b ɹ ˈɛ d,b ɹ ˈɛ d
nineteen,nine.teen,n ˈaɪ n t ˈi n,n ˈaɪ n . t ˈi n
nineties,nine.ties,n ˈaɪ n t i z,n ˈaɪ n . t i z
allergic,al.ler.gic,ə l ˈɚ d͡ʒ ɪ k,ə . l ˈɚ . d͡ʒ ɪ k
concerned,con.cerned,k ə n s ˈɚ n d,k ə n . s ˈɚ n d
shed,shed,ʃ ˈɛ d,ʃ ˈɛ d
chihuahua,chi.hua.hua,t͡ʃ ɪ w ˈɑ w ˌɑ,t͡ʃ ɪ . w ˈɑ . w ˌɑ
angry,an.gry,ˈæ ŋ ɡ ɹ i,ˈæ ŋ . ɡ ɹ i
fleas,fleas,f l ˈi z,f l ˈi z
ticks,ticks,t ˈɪ k s,t ˈɪ k s
clumps,clumps,k l ˈʌ m p s,k l ˈʌ m p s
fur,fur,f ˈɚ,f ˈɚ
autumn,au.tumn,ˈɔ t ə m,ˈɔ . t ə m
point,point,p ˈɔɪ n t,p ˈɔɪ n t
nearby,near.by,n ˈɪ ɹ b ˈaɪ,n ˈɪ ɹ . b ˈaɪ
flying,fly.ing,f l ˈaɪ ɪ ŋ,f l ˈaɪ . ɪ ŋ
decide,de.cide,d ɪ s ˈaɪ d,d ɪ . s ˈaɪ d
hills,hills,h ˈɪ l z,h ˈɪ l z
stinky,stink.y,s t ˈɪ ŋ k i,s t ˈɪ ŋ . k i
roll,roll,ɹ ˈoʊ l,ɹ ˈoʊ l
winner,win.ner,w ˈɪ n ɚ,w ˈɪ n . ɚ
race,race,ɹ ˈeɪ s,ɹ ˈeɪ s
truffle,truf.fle,t ɹ ˈʌ f ə l,t ɹ ˈʌ f . ə l
boast,boast,b ˈoʊ s t,b ˈoʊ s t
voice,voice,v ˈɔɪ s,v ˈɔɪ s
treasure,treas.ure,t ɹ ˈɛ ʒ ɚ,t ɹ ˈɛ ʒ . ɚ
sorts,sorts,s ˈɔ ɹ t s,s ˈɔ ɹ t s
weird,weird,w ˈɪ ɹ d,w ˈɪ ɹ d
bet,bet,b ˈɛ t,b ˈɛ t
horrid,hor.rid,h ˈɔ ɹ ə d,h ˈɔ ɹ . ə d
gobble,gob.ble,ɡ ˈɑ b ə l,ɡ ˈɑ . b ə l
whatever,what.ev.er,w ˌʌ t ˈɛ v ɚ,w ˌʌ t . ˈɛ v . ɚ
egg,egg,ˈɛ ɡ,ˈɛ ɡ
cavity,cav.i.ty,k ˈæ v ə t i,k ˈæ v . ə . t i
keen,keen,k ˈi n,k ˈi n
raw,raw,ɹ ˈɑ,ɹ ˈɑ
yolk,yolk,j ˈoʊ k,j ˈoʊ k
tastes,tastes,t ˈeɪ s t s,t ˈeɪ s t s
brakes,brakes,b ɹ ˈeɪ k s,b ɹ ˈeɪ k s
belongs,be.longs,b ɪ l ˈɔ ŋ z,b ɪ . l ˈɔ ŋ z
stare,stare,s t ˈɛ ɹ,s t ˈɛ ɹ
accepts,ac.cepts,æ k s ˈɛ p t s,æ k . s ˈɛ p t s
begins,be.gins,b ɪ ɡ ˈɪ n z,b ɪ . ɡ ˈɪ n z
hungry,hun.gry,h ˈʌ ŋ ɡ ɹ i,h ˈʌ ŋ . ɡ ɹ i
soaked,soaked,s ˈoʊ k t,s ˈoʊ k t
concerns,con.cerns,k ə n s ˈɚ n z,k ə n . s ˈɚ n z
whether,wheth.er,w ˈɛ ð ɚ,w ˈɛ ð . ɚ
lay,lay,l ˈeɪ,l ˈeɪ
eggs,eggs,ˈɛ ɡ z,ˈɛ ɡ z
dive,dive,d ˈaɪ v,d ˈaɪ v
squid,squid,s k w ˈɪ d,s k w ˈɪ d
liking,lik.ing,l ˈaɪ k ɪ ŋ,l ˈaɪ . k ɪ ŋ
none,none,n ˈʌ n,n ˈʌ n
creatures,crea.tures,k ɹ ˈi t͡ʃ ɚ z,k ɹ ˈi . t͡ʃ ɚ z
pay,pay,p ˈeɪ,p ˈeɪ
attention,at.ten.tion,ə t ˈɛ n ʃ ə n,ə . t ˈɛ n . ʃ ə n
dragons,drag.ons,d ɹ ˈæ ɡ ə n z,d ɹ ˈæ ɡ . ə n z
zoom,zoom,z ˈu m,z ˈu m
custody,cus.to.dy,k ˈʌ s t ə d i,k ˈʌ s . t ə . d i
paying,pay.ing,p ˈeɪ ɪ ŋ,p ˈeɪ . ɪ ŋ
knighted,knight.ed,n ˈaɪ t ɪ d,n ˈaɪ t . ɪ d
efforts,ef.forts,ˈɛ f ɚ t s,ˈɛ f . ɚ t s
unknown,un.known,ʌ n n ˈoʊ n,ʌ n . n ˈoʊ n
creature,crea.ture,k ɹ ˈi t͡ʃ ɚ,k ɹ ˈi . t͡ʃ ɚ
hatch,hatch,h ˈæ t͡ʃ,h ˈæ t͡ʃ
bedside,bed.side,b ˈɛ d s ˌaɪ d,b ˈɛ d . s ˌaɪ d
table,ta.ble,t ˈeɪ b ə l,t ˈeɪ . b ə l
warmth,warmth,w ˈɔ ɹ m θ,w ˈɔ ɹ m θ
developing,de.vel.op.ing,d ɪ v ˈɛ l ə p ɪ ŋ,d ɪ . v ˈɛ l . ə . p ɪ ŋ
hatched,hatched,h ˈæ t͡ʃ t,h ˈæ t͡ʃ t
laid,laid,l ˈeɪ d,l ˈeɪ d
huge,huge,h j ˈu d͡ʒ,h j ˈu d͡ʒ
bizarre,bi.zarre,b ɪ z ˈɑ ɹ,b ɪ . z ˈɑ ɹ
concur,con.cur,k ə ŋ k ˈɚ,k ə n . k ˈɚ
bond,bond,b ˈɑ n d,b ˈɑ n d
kneels,kneels,n ˈi l z,n ˈi l z
gain,gain,ɡ ˈeɪ n,ɡ ˈeɪ n
pocket,pock.et,p ˈɑ k ə t,p ˈɑ . k ə t
explore,ex.plore,ɪ k s p l ˈɔ ɹ,ɪ k . s p l ˈɔ ɹ
actions,ac.tions,ˈæ k ʃ ə n z,ˈæ k . ʃ ə n z
quickly,quick.ly,k w ˈɪ k l i,k w ˈɪ k . l i
afraid,a.fraid,ə f ɹ ˈeɪ d,ə . f ɹ ˈeɪ d
names,names,n ˈeɪ m z,n ˈeɪ m z
roams,roams,ɹ ˈoʊ m z,ɹ ˈoʊ m z
wander,wan.der,w ˈɔ n d ɚ,w ˈɔ n . d ɚ
grateful,grate.ful,ɡ ɹ ˈeɪ t f ə l,ɡ ɹ ˈeɪ t . f ə l
mangoes,man.goes,m ˈæ ŋ ɡ oʊ z,m ˈæ ŋ . ɡ oʊ z
insects,in.sects,ˈɪ n s ˌɛ k t s,ˈɪ n . s ˌɛ k t s
mango,man.go,m ˈæ ŋ ɡ oʊ,m ˈæ ŋ . ɡ oʊ
pluck,pluck,p l ˈʌ k,p l ˈʌ k
ripe,ripe,ɹ ˈaɪ p,ɹ ˈaɪ p
scale,scale,s k ˈeɪ l,s k ˈeɪ l
gran,gran,ɡ ɹ ˈæ n,ɡ ɹ ˈæ n
chew,chew,t͡ʃ ˈu,t͡ʃ ˈu
seed,seed,s ˈi d,s ˈi d
load,load,l ˈoʊ d,l ˈoʊ d
baskets,bas.kets,b ˈæ s k ə t s,b ˈæ s . k ə t s
sell,sell,s ˈɛ l,s ˈɛ l
cheap,cheap,t͡ʃ ˈi p,t͡ʃ ˈi p
packs,packs,p ˈæ k s,p ˈæ k s
truck,truck,t ɹ ˈʌ k,t ɹ ˈʌ k
drive,drive,d ɹ ˈaɪ v,d ɹ ˈaɪ v
market,mar.ket,m ˈɑ ɹ k ɪ t,m ˈɑ ɹ . k ɪ t
worth,worth,w ˈɚ θ,w ˈɚ θ
chat,chat,t͡ʃ ˈæ t,t͡ʃ ˈæ t
yap,yap,j ˈæ p,j ˈæ p
chomp,chomp,t͡ʃ ˈɑ m p,t͡ʃ ˈɑ m p
pup,pup,p ˈʌ p,p ˈʌ p
cute,cute,k j ˈu t,k j ˈu t
hi,hi,h ˈaɪ,h ˈaɪ
fear,fear,f ˈɪ ɹ,f ˈɪ ɹ
mood,mood,m ˈu d,m ˈu d
finger,fin.ger,f ˈɪ ŋ ɡ ɚ,f ˈɪ ŋ . ɡ ɚ
cool,cool,k ˈu l,k ˈu l
paper,pa.per,p ˈeɪ p ɚ,p ˈeɪ . p ɚ
lots,lots,l ˈɑ t s,l ˈɑ t s
patterns,pat.terns,p ˈæ t ɚ n z,p ˈæ t . ɚ n z
cutting,cut.ting,k ˈʌ t ɪ ŋ,k ˈʌ t . ɪ ŋ
flowers,flow.ers,f l ˈaʊ ɚ z,f l ˈaʊ . ɚ z
press,press,p ɹ ˈɛ s,p ɹ ˈɛ s
writing,writ.ing,ɹ ˈaɪ t ɪ ŋ,ɹ ˈaɪ . t ɪ ŋ
writes,writes,ɹ ˈaɪ t s,ɹ ˈaɪ t s
piece,piece,p ˈi s,p ˈi s
write,write,ɹ ˈaɪ t,ɹ ˈaɪ t
beneath,be.neath,b ɪ n ˈi θ,b ɪ . n ˈi θ
share,share,ʃ ˈɛ ɹ,ʃ ˈɛ ɹ
cuckoo,cuck.oo,k ˈu k ˌu,k ˈu k . ˌu
nearly,near.ly,n ˈɪ ɹ l i,n ˈɪ ɹ . l i
consumed,con.sumed,k ə n s ˈu m d,k ə n . s ˈu m d
warn,warn,w ˈɔ ɹ n,w ˈɔ ɹ n
scans,scans,s k ˈæ n z,s k ˈæ n z
wheat,wheat,w ˈi t,w ˈi t
tops,tops,t ˈɑ p s,t ˈɑ p s
hidden,hid.den,h ˈɪ d ə n,h ˈɪ d . ə n
giving,giv.ing,ɡ ˈɪ v ɪ ŋ,ɡ ˈɪ v . ɪ ŋ
squawk,squawk,s k w ˈɔ k,s k w ˈɔ k
rains,rains,ɹ ˈeɪ n z,ɹ ˈeɪ n z
mark,mark,m ˈɑ ɹ k,m ˈɑ ɹ k
winter,win.ter,w ˈɪ n t ɚ,w ˈɪ n . t ɚ
pelting,pelt.ing,p ˈɛ l t ɪ ŋ,p ˈɛ l . t ɪ ŋ
lets,lets,l ˈɛ t s,l ˈɛ t s
hantu,,h ˈæ n t ˈu,
spook,spook,s p ˈu k,s p ˈu k
pots,pots,p ˈɑ t s,p ˈɑ t s
boy,boy,b ˈɔɪ,b ˈɔɪ
pops,pops,p ˈɑ p s,p ˈɑ p s
lion,li.on,l ˈaɪ ə n,l ˈaɪ . ə n
guard,guard,ɡ ˈɑ ɹ d,ɡ ˈɑ ɹ d
gun,gun,ɡ ˈʌ n,ɡ ˈʌ n
drum,drum,d ɹ ˈʌ m,d ɹ ˈʌ m
bang,bang,b ˈæ ŋ,b ˈæ ŋ
shakes,shakes,ʃ ˈeɪ k s,ʃ ˈeɪ k s
y,y,w ˈaɪ,w ˈaɪ
u,,j ˈu,
cooperate,co.op.er.ate,k oʊ ˈɑ p ɚ ˌeɪ t,k oʊ . ˈɑ p ɚ . ˌeɪ t
boring,bor.ing,b ˈɔ ɹ ɪ ŋ,b ˈɔ . ɹ ɪ ŋ
propels,pro.pels,p ɹ ə p ˈɛ l z,p ɹ ə . p ˈɛ l z
bow,bow,b ˈoʊ,b ˈoʊ
wag,wag,w ˈæ ɡ,w ˈæ ɡ
rebel,re.bel,ɹ ˈɛ b ə l,ɹ ˈɛ b . ə l
lifts,lifts,l ˈɪ f t s,l ˈɪ f t s
revels,rev.els,ɹ ˈɛ v ə l z,ɹ ˈɛ v . ə l z
rope,rope,ɹ ˈoʊ p,ɹ ˈoʊ p
tug,tug,t ˈʌ ɡ,t ˈʌ ɡ
war,war,w ˈɔ ɹ,w ˈɔ ɹ
hank,hank,h ˈæ ŋ k,h ˈæ ŋ k
flunk,flunk,f l ˈʌ ŋ k,f l ˈʌ ŋ k
reads,reads,ɹ ˈi d z,ɹ ˈi d z
tea,tea,t ˈi,t ˈi
spy,spy,s p ˈaɪ,s p ˈaɪ
tie,tie,t ˈaɪ,t ˈaɪ
links,links,l ˈɪ ŋ k s,l ˈɪ ŋ k s
adds,adds,ˈæ d z,ˈæ d z
bank,bank,b ˈæ ŋ k,b ˈæ ŋ k
gift,gift,ɡ ˈɪ f t,ɡ ˈɪ f t
copilot,co.pi.lot,k ˈoʊ p aɪ l ə t,k ˈoʊ . p aɪ . l ə t
croc,croc,k ɹ ˈɑ k,k ɹ ˈɑ k
porcupine,por.cu.pine,p ˈɔ ɹ k j ə p ˌaɪ n,p ˈɔ ɹ . k j ə . p ˌaɪ n
spines,spines,s p ˈaɪ n z,s p ˈaɪ n z
skunk,skunk,s k ˈʌ ŋ k,s k ˈʌ ŋ k
stink,stink,s t ˈɪ ŋ k,s t ˈɪ ŋ k
rhino,rhi.no,ɹ ˈaɪ n oʊ,ɹ ˈaɪ . n oʊ
smash,smash,s m ˈæ ʃ,s m ˈæ ʃ
gross,gross,ɡ ɹ ˈoʊ s,ɡ ɹ ˈoʊ s
spike,spike,s p ˈaɪ k,s p ˈaɪ k
cactus,cac.tus,k ˈæ k t ə s,k ˈæ k . t ə s
orange,or.ange,ˈɔ ɹ ɪ n d͡ʒ,ˈɔ ɹ . ɪ n d͡ʒ
hopped,hopped,h ˈɑ p t,h ˈɑ p t
pot,pot,p ˈɑ t,p ˈɑ t
correct,cor.rect,k ɚ ˈɛ k t,k ɚ . ɹ ˈɛ k t
guava,gua.va,ɡ w ˈɑ v ə,ɡ w ˈɑ . v ə
sighs,sighs,s ˈaɪ z,s ˈaɪ z
search,search,s ˈɚ t͡ʃ,s ˈɚ t͡ʃ
pawpaw,paw.paw,p ˈɔ p ˌɔ,p ˈɔ . p ˌɔ
biased,bi.ased,b ˈaɪ ə s t,b ˈaɪ . ə s t
react,re.act,ɹ i ˈæ k t,ɹ i . ˈæ k t
pulled,pulled,p ˈʊ l d,p ˈʊ l d
spikey,spi.key,s p ˈaɪ k i,s p ˈaɪ . k i
dunes,dunes,d ˈu n z,d ˈu n z
fluid,flu.id,f l ˈu ɪ d,f l ˈu . ɪ d
covered,cov.ered,k ˈʌ v ɚ d,k ˈʌ v . ɚ d
thorns,thorns,θ ˈɔ ɹ n z,θ ˈɔ ɹ n z
sang,sang,s ˈæ ŋ,s ˈæ ŋ
duets,du.ets,d u ˈɛ t s,d u . ˈɛ t s
grew,grew,ɡ ɹ ˈu,ɡ ɹ ˈu
today,to.day,t ə d ˈeɪ,t ə . d ˈeɪ
cook,cook,k ˈʊ k,k ˈʊ k
tim,tim,t ˈɪ m,t ˈɪ m
wheels,wheels,w ˈi l z,w ˈi l z
machines,ma.chines,m ə ʃ ˈi n z,m ə . ʃ ˈi n z
courage,cour.age,k ˈɚ ɪ d͡ʒ,k ˈɚ . ɪ d͡ʒ
giant,gi.ant,d͡ʒ ˈaɪ ə n t,d͡ʒ ˈaɪ . ə n t
covering,cov.er.ing,k ˈʌ v ɚ ɪ ŋ,k ˈʌ v . v ɚ . ɹ ɪ ŋ
wheel,wheel,w ˈi l,w ˈi l
clocks,clocks,k l ˈɑ k s,k l ˈɑ k s
allow,al.low,ə l ˈaʊ,ə . l ˈaʊ
clock,clock,k l ˈɑ k,k l ˈɑ k
sites,sites,s ˈaɪ t s,s ˈaɪ t s
cowardly,cow.ard.ly,k ˈaʊ ɚ d l i,k ˈaʊ . w ɚ d . l i
silo,si.lo,s ˈaɪ l oʊ,s ˈaɪ . l oʊ
transport,trans.port,t ɹ ˈæ n s p ɔ ɹ t,t ɹ ˈæ n . s p ɔ ɹ t
ruins,ru.ins,ɹ ˈu ɪ n z,ɹ ˈu . ɪ n z
crayon,cray.on,k ɹ ˈeɪ ˌɑ n,k ɹ ˈeɪ . ˌɑ n
products,prod.ucts,p ɹ ˈɑ d ʌ k t s,p ɹ ˈɑ . d ʌ k t s
main,main,m ˈeɪ n,m ˈeɪ n
goods,goods,ɡ ˈʊ d z,ɡ ˈʊ d z
rivers,riv.ers,ɹ ˈɪ v ɚ z,ɹ ˈɪ v . ɚ z
trade,trade,t ɹ ˈeɪ d,t ɹ ˈeɪ d
creeper,creep.er,k ɹ ˈi p ɚ,k ɹ ˈi . p ɚ
pros,pros,p ɹ ˈoʊ z,p ɹ ˈoʊ z
cons,cons,k ˈɑ n z,k ˈɑ n z
five,five,f ˈaɪ v,f ˈaɪ v
obliged,o.bliged,ə b l ˈaɪ d͡ʒ d,ə . b l ˈaɪ d͡ʒ d
stakes,stakes,s t ˈeɪ k s,s t ˈeɪ k s
experiences,ex.pe.ri.enc.es,ɪ k s p ˈɪ ɹ i ə n s ɪ z,ɪ k . s p ˈɪ ɹ . i . ə n s . ɪ z
offer,of.fer,ˈɔ f ɚ,ˈɔ . f ɚ
however,how.ev.er,h ˌaʊ ˈɛ v ɚ,h ˌaʊ . ˈɛ v . ɚ
noticed,noticed,n ˈoʊ t ɪ s t,n ˈoʊ t ɪ s t
cruelty,cru.el.ty,k ɹ ˈu l t i,k ɹ ˈu . ə l . t i
green,green,ɡ ɹ ˈi n,ɡ ɹ ˈi n
spine,spine,s p ˈaɪ n,s p ˈaɪ n
fire,fire,f ˈaɪ ɚ,f ˈaɪ ɚ
months,months,m ˈʌ n θ s,m ˈʌ n θ s
cuddles,cud.dles,k ˈʌ d l z,k ˈʌ d . l z
scenes,scenes,s ˈi n z,s ˈi n z
hundreds,hun.dreds,h ˈʌ n d ɹ ɪ d z,h ˈʌ n . d ɹ ɪ d z
gathering,gath.er.ing,ɡ ˈæ ð ɚ ɪ ŋ,ɡ ˈæ ð . ɚ . ɪ ŋ
weapons,weap.ons,w ˈɛ p ə n z,w ˈɛ p . ə n z
surrounded,surrounded,s ɚ ˈaʊ n d ɪ d,s ɚ ˈaʊ n d ɪ d
taking,tak.ing,t ˈeɪ k ɪ ŋ,t ˈeɪ . k ɪ ŋ
botanist,bot.an.ist,b ˈɑ t ə n ɪ s t,b ˈɑ t . ə n . ɪ s t
happening,hap.pen.ing,h ˈæ p ə n ɪ ŋ,h ˈæ p . ə n . ɪ ŋ
strain,strain,s t ɹ ˈeɪ n,s t ɹ ˈeɪ n
residents,res.i.dents,ɹ ˈɛ z ɪ d ə n t s,ɹ ˈɛ z . ɪ . d ə n t s
uprooting,up.root.ing,ʌ p ɹ ˈu t ɪ ŋ,ʌ p . ɹ ˈu t . ɪ ŋ
seeking,seek.ing,s ˈi k ɪ ŋ,s ˈi k . ɪ ŋ
sting,sting,s t ˈɪ ŋ,s t ˈɪ ŋ
incidents,in.ci.dents,ˈɪ n s ɪ d ə n t s,ˈɪ n . s ɪ . d ə n t s
aggressive,ag.gres.sive,ə ɡ ɹ ˈɛ s ɪ v,ə . ɡ ɹ ˈɛ s . ɪ v
horror,hor.ror,h ˈɔ ɹ ɚ,h ˈɔ ɹ . ɚ
attacked,a.ttacked,ə t ˈæ k t,ə . t ˈæ k t
knowing,know.ing,n ˈoʊ ɪ ŋ,n ˈoʊ . ɪ ŋ
scenic,sce.nic,s ˈi n ɪ k,s ˈi . n ɪ k
views,views,v j ˈu z,v j ˈu z
stumps,stumps,s t ˈʌ m p s,s t ˈʌ m p s
offered,off.ered,ˈɔ f ɚ d,ˈɔ f . ɚ d
gulped,gulped,ɡ ˈʌ l p t,ɡ ˈʌ l p t
audibly,au.di.bly,ˈɔ d ɪ b l i,ˈɔ . d ɪ . b l i
scientist,sci.en.tist,s ˈaɪ ə n t ɪ s t,s ˈaɪ . ə n . t ɪ s t
seek,seek,s ˈi k,s ˈi k
nymph,nymph,n ˈɪ m f,n ˈɪ m f
scent,scent,s ˈɛ n t,s ˈɛ n t
attacking,a.ttack.ing,ə t ˈæ k ɪ ŋ,ə . t ˈæ k . ɪ ŋ
satisfy,sat.is.fy,s ˈæ t ɪ s f ˌaɪ,s ˈæ t . ɪ s . f ˌaɪ
studies,stud.ies,s t ˈʌ d i z,s t ˈʌ d . i z
helplessly,help.less.ly,h ˈɛ l p l ə s l i,h ˈɛ l p . l ə s . l i
groaned,groaned,ɡ ɹ ˈoʊ n d,ɡ ɹ ˈoʊ n d
bait,bait,b ˈeɪ t,b ˈeɪ t
science,sci.ence,s ˈaɪ ə n s,s ˈaɪ . ə n s
wonderful,won.der.ful,w ˈʌ n d ɚ f ə l,w ˈʌ n . d ɚ . f ə l
clap,clap,k l ˈæ p,k l ˈæ p
descended,de.scen.ded,d ɪ s ˈɛ n d ɪ d,d ɪ . s ˈɛ n . d ɪ d
risk,risk,ɹ ˈɪ s k,ɹ ˈɪ s k
pademelon,pad.e.mel.on,p ˈeɪ d ɪ m ə l ə n,p ˈeɪ d . ɪ m . ə l ə . n
chosen,cho.sen,t͡ʃ ˈoʊ z ə n,t͡ʃ ˈoʊ . z ə n
character,char.ac.ter,k ˈɛ ɹ ɪ k t ɚ,k ˈɛ ɹ . ɪ k . t ɚ
excellent,ex.cel.lent,ˈɛ k s ə l ə n t,ˈɛ k . s ə l . ə n t
promptly,prompt.ly,p ɹ ˈɑ m p t l i,p ɹ ˈɑ m p t . l i
dense,dense,d ˈɛ n s,d ˈɛ n s
rustling,rus.tling,ɹ ˈʌ s ə l ɪ ŋ,ɹ ˈʌ s . ə l ɪ ŋ
bushes,bushes,b ˈʊ ʃ ɪ z,b ˈʊ ʃ ɪ z
bounded,boun.ded,b ˈaʊ n d ɪ d,b ˈaʊ n . d ɪ d
tackled,tack.led,t ˈæ k ə l d,t ˈæ k . ə l d
phew,phew,f j ˈu,f j ˈu
realised,re.al.ised,ɹ ˈi ə l ˌaɪ z d,ɹ ˈi . ə l . ˌaɪ z d
bent,bent,b ˈɛ n t,b ˈɛ n t
upper,up.per,ˈʌ p ɚ,ˈʌ p . ɚ
branches,branches,b ɹ ˈæ n t͡ʃ ɪ z,b ɹ ˈæ n t͡ʃ ɪ z
you've,youve,j ˈu v,
caused,caused,k ˈɔ z d,k ˈɔ z d
dug,dug,d ˈʌ ɡ,d ˈʌ ɡ
drooped,drooped,d ɹ ˈu p t,d ɹ ˈu p t
special,spe.cial,s p ˈɛ ʃ ə l,s p ˈɛ ʃ . ə l
trophy,tro.phy,t ɹ ˈoʊ f i,t ɹ ˈoʊ . f i
stepped,stepped,s t ˈɛ p t,s t ˈɛ p t
cautiously,cau.tious.ly,k ˈɔ ʃ ə s l i,k ˈɔ . ʃ ə s . l i
plans,plans,p l ˈæ n z,p l ˈæ n z
pens,pens,p ˈɛ n z,p ˈɛ n z
papers,pa.pers,p ˈeɪ p ɚ z,p ˈeɪ . p ɚ z
graphs,graphs,ɡ ɹ ˈæ f s,ɡ ɹ ˈæ f s
torn,torn,t ˈɔ ɹ n,t ˈɔ ɹ n
proof,proof,p ɹ ˈu f,p ɹ ˈu f
tracked,tracked,t ɹ ˈæ k t,t ɹ ˈæ k t
largest,lar.gest,l ˈɑ ɹ d͡ʒ ɪ s t,l ˈɑ ɹ . d͡ʒ ɪ s t
wild,wild,w ˈaɪ l d,w ˈaɪ l d
camp,camp,k ˈæ m p,k ˈæ m p
anxiety,anx.i.e.ty,æ ŋ z ˈaɪ ə t i,æ ŋ . z ˈaɪ . ə . t i
current,cur.rent,k ˈɚ ə n t,k ˈɚ . ə n t
interact,in.ter.act,ˌɪ n t ɚ ˈæ k t,ˌɪ n . t ɚ . ˈæ k t
hoped,hoped,h ˈoʊ p t,h ˈoʊ p t
ascended,a.scen.ded,ə s ˈɛ n d ɪ d,ə . s ˈɛ n . d ɪ d
beginning,be.gin.ning,b ɪ ɡ ˈɪ n ɪ ŋ,b ɪ . ɡ ˈɪ n . ɪ ŋ
hack,hack,h ˈæ k,h ˈæ k
closest,clo.sest,k l ˈoʊ s ɪ s t,k l ˈoʊ . s ɪ s t
accepted,ac.cept.ed,æ k s ˈɛ p t ɪ d,æ k . s ˈɛ p . t ɪ d
gloved,gloved,ɡ l ˈʌ v d,ɡ l ˈʌ v d
threat,threat,θ ɹ ˈɛ t,θ ɹ ˈɛ t
arm,arm,ˈɑ ɹ m,ˈɑ ɹ m
against,a.gainst,ə ɡ ˈɛ n s t,ə . ɡ ˈɛ n s t
phobias,pho.bi.as,f ˈoʊ b i ə z,f ˈoʊ . b i . ə z
jones,jones,d͡ʒ ˈoʊ n z,d͡ʒ ˈoʊ n z
bags,bags,b ˈæ ɡ z,b ˈæ ɡ z
chips,chips,t͡ʃ ˈɪ p s,t͡ʃ ˈɪ p s
line,line,l ˈaɪ n,l ˈaɪ n
swipes,swipes,s w ˈaɪ p s,s w ˈaɪ p s
desks,desks,d ˈɛ s k s,d ˈɛ s k s
bins,bins,b ˈɪ n z,b ˈɪ n z
fat,fat,f ˈæ t,f ˈæ t
panha,pan.ha,p ˈæ n h ə,p ˈæ n . h ə
smog,smog,s m ˈɑ ɡ,s m ˈɑ ɡ
shine,shine,ʃ ˈaɪ n,ʃ ˈaɪ n
thins,thins,θ ˈɪ n z,θ ˈɪ n z
workshop,work.shop,w ˈɚ k ʃ ˌɑ p,w ˈɚ k . ʃ ˌɑ p
plane,plane,p l ˈeɪ n,p l ˈeɪ n
breaks,breaks,b ɹ ˈeɪ k s,b ɹ ˈeɪ k s
transit,trans.it,t ɹ ˈæ n z ɪ t,t ɹ ˈæ n . z ɪ t
